datetime,temperature_c,relative_humidity,dew_point_c,pressure_hpa,wind_speed_ms,wind_direction_deg,ghi_whm2,dni_whm2,dhi_whm2,total_sky_cover,precipitation_mm,albedo
2024-01-01 00:00:00,8.0,55,4.0,1011.5,2.8,0,0,0,0,0.0,0.2,0.18
2024-01-01 01:00:00,8.08,56,4.05,1011.52,2.83,14,0,0,0,0.1,0.0,0.19
2024-01-01 02:00:00,8.16,57,4.1,1011.54,2.86,28,0,0,0,0.2,0.0,0.2
2024-01-01 03:00:00,8.24,58,4.15,1011.56,2.89,42,0,0,0,0.3,0.0,0.21
2024-01-01 04:00:00,8.32,59,4.2,1011.58,2.92,56,0,0,0,0.4,0.0,0.22
2024-01-01 05:00:00,8.4,60,4.25,1011.6,2.95,70,0,0,0,0.5,0.0,0.18
2024-01-01 06:00:00,8.48,61,4.3,1011.62,2.98,84,0,0,0,0.6,0.0,0.19
2024-01-01 07:00:00,8.56,62,4.35,1011.64,3.01,98,70,0,0,0.7,0.0,0.2
2024-01-01 08:00:00,8.64,63,4.4,1011.66,3.04,112,140,75,0,0.8,0.0,0.21
2024-01-01 09:00:00,8.72,64,4.45,1011.68,3.07,126,210,150,42,0.9,0.0,0.22
2024-01-01 10:00:00,8.8,65,4.5,1011.7,3.1,140,280,225,84,1.0,0.0,0.18
2024-01-01 11:00:00,8.88,66,4.55,1011.72,3.13,154,350,300,126,0.0,0.0,0.19
2024-01-01 12:00:00,8.96,67,4.6,1011.74,3.16,168,420,375,168,0.1,0.0,0.2
2024-01-01 13:00:00,9.04,68,4.65,1011.76,3.19,182,490,450,210,0.2,0.0,0.21
2024-01-01 14:00:00,9.12,69,4.7,1011.78,3.22,196,560,525,252,0.3,0.0,0.22
2024-01-01 15:00:00,9.2,70,4.75,1011.8,3.25,210,630,600,294,0.4,0.0,0.18
2024-01-01 16:00:00,9.28,71,4.8,1011.82,3.28,224,700,675,320,0.5,0.0,0.19
2024-01-01 17:00:00,9.36,72,4.85,1011.84,3.31,238,770,750,320,0.6,0.0,0.2
2024-01-01 18:00:00,9.44,73,4.9,1011.86,3.34,252,820,825,320,0.7,0.0,0.21
2024-01-01 19:00:00,9.52,74,4.95,1011.88,3.37,266,820,900,320,0.8,0.0,0.22
2024-01-01 20:00:00,9.6,75,4.0,1011.9,3.4,280,820,900,320,0.9,0.0,0.18
2024-01-01 21:00:00,9.68,76,4.05,1011.92,3.43,294,820,900,320,1.0,0.0,0.19
2024-01-01 22:00:00,9.76,77,4.1,1011.94,3.46,308,820,900,320,0.0,0.0,0.2
2024-01-01 23:00:00,9.84,78,4.15,1011.96,3.49,322,820,900,320,0.1,0.0,0.21
2024-01-02 00:00:00,8.0,79,4.2,1011.98,3.52,336,0,0,0,0.2,0.0,0.22
2024-01-02 01:00:00,8.08,80,4.25,1012.0,3.55,350,0,0,0,0.3,0.0,0.18
2024-01-02 02:00:00,8.16,81,4.3,1012.02,3.58,4,0,0,0,0.4,0.0,0.19
2024-01-02 03:00:00,8.24,82,4.35,1012.04,3.61,18,0,0,0,0.5,0.0,0.2
2024-01-02 04:00:00,8.32,83,4.4,1012.06,3.64,32,0,0,0,0.6,0.0,0.21
2024-01-02 05:00:00,8.4,84,4.45,1012.08,3.67,46,0,0,0,0.7,0.2,0.22
2024-01-02 06:00:00,8.48,55,4.5,1012.1,3.7,60,0,0,0,0.8,0.0,0.18
2024-01-02 07:00:00,8.56,56,4.55,1012.12,3.73,74,70,0,0,0.9,0.0,0.19
2024-01-02 08:00:00,8.64,57,4.6,1012.14,3.76,88,140,75,0,1.0,0.0,0.2
2024-01-02 09:00:00,8.72,58,4.65,1012.16,3.79,102,210,150,42,0.0,0.0,0.21
2024-01-02 10:00:00,8.8,59,4.7,1012.18,3.82,116,280,225,84,0.1,0.0,0.22
2024-01-02 11:00:00,8.88,60,4.75,1012.2,3.85,130,350,300,126,0.2,0.0,0.18
2024-01-02 12:00:00,8.96,61,4.8,1012.22,3.88,144,420,375,168,0.3,0.0,0.19
2024-01-02 13:00:00,9.04,62,4.85,1012.24,3.91,158,490,450,210,0.4,0.0,0.2
2024-01-02 14:00:00,9.12,63,4.9,1012.26,3.94,172,560,525,252,0.5,0.0,0.21
2024-01-02 15:00:00,9.2,64,4.95,1012.28,3.97,186,630,600,294,0.6,0.0,0.22
2024-01-02 16:00:00,9.28,65,4.0,1012.3,4.0,200,700,675,320,0.7,0.0,0.18
2024-01-02 17:00:00,9.36,66,4.05,1012.32,4.03,214,770,750,320,0.8,0.0,0.19
2024-01-02 18:00:00,9.44,67,4.1,1012.34,4.06,228,820,825,320,0.9,0.0,0.2
2024-01-02 19:00:00,9.52,68,4.15,1012.36,4.09,242,820,900,320,1.0,0.0,0.21
2024-01-02 20:00:00,9.6,69,4.2,1012.38,4.12,256,820,900,320,0.0,0.0,0.22
2024-01-02 21:00:00,9.68,70,4.25,1012.4,4.15,270,820,900,320,0.1,0.0,0.18
2024-01-02 22:00:00,9.76,71,4.3,1012.42,4.18,284,820,900,320,0.2,0.0,0.19
2024-01-02 23:00:00,9.84,72,4.35,1012.44,4.21,298,820,900,320,0.3,0.0,0.2
